"HolderAddress","Balance","PendingBalanceUpdate"
"0xb1d2fefa6073c9ed692047855b7b9ccecd332be2","200000","No"
"0xc9f30e43527bf0242481166b3ac64810ee7e661d","200000","No"
"0xba662818b2d76a0592335d9b99D4a952B38062fC","200000",No"
"0x480378b64643906718ac00d919803c97074c7cb8","200000","No"
"0xe846ea34a7fe3a71434ee374e577f9afeb86e33e","200000","No"
"0x1ce5f224b00f57d3890b9afb40058e2abe93387f","200000","No"
"0x0ea07af6e4c92d607c985cf378f592e4cdeaa771","200000","No"
"0x5036bc301a2b8c196e64988a067b809dce1683ee","200000","No"
"0x3866b86b0974ad3edc11c9f407aff1574231a262","200000","No"
"0x5d136343083674f2cc947ad678543101d0140047","200000","No"
"0x1f58b16fdae8cbc39beb608a800716315e35dbef","200000","No"
"0x366315e7da54b5de968d3ea3bbafe74e0b13a908","200000","No"
"0xdb6fd030ba528e457a60e5af1ae75efe47f1f4e0","200000","No"
"0xd9005cc3cf7f3a8af2d09bbb9b1833f342609c06","200000","No"
"0xbea01c83a88e1f1e335c50f28438e74ae50955d7","200000","No"
"0x54547cd5ed0a2261b476b973beb9b75d77563a29","200000","No"
"0x78442dfbf6052cd7811c9e2f7f278a14cc6c517b","200000","No"
"0xa8ebf68242545a25650ac1cbb3deb6bb60f64f2b","200000","No"
"0x085e3421275eb85259801b1c0efd77d8d7e4e18f","200000","No"
"0x5aa5c6c91fd597602fab4b55bbf401a1fcfc2a40","200000","No"
"0xe969065217b69ed68718f88fd07c2127804d75cd","161250","No"
"0xf36bc9c62e8a9271ebcbeb991d247634579a0399","138750","No"
"0xc0432ce6f9641aa90ccdef041dc2e06c8da617d6","117000","No"
"0x6ab2cc6f02fe1518e85dd98eabd2cbaeb958a077","101000","No"
"0xa95ad8839daf60fdfc1a03097554d92e2681daf8","100000","No"
"0xd60b33f863fe42f1036aca16f4331e1385ff6a28","100000","No"
"0xb0656d8a0eff9afcbc05aa81f159e6d22bfae662","100000","No"
"0xcc4103096a78af56f73ce7d311def2565fecd5db","100000","No"
"0xb55b680593901ecd345e658cd6180096c76ebb68","100000","No"
"0xd9a7714a80a4e872c9b48ddb5e65adee30fef4d1","100000","No"
"0xf467d378e5fe5aca8af134549cea66224b1629a0","100000","No"
"0x2449196a3aa3b870c0e44a845599bc966f6a61b6","100000","No"
"0x1d816288f4c6d0cd9c12e89a129843c61ebda091","75500","No"
"0xdf0934baca689306185b225897075ef8bb11f7f7","70000","No"
"0x0029c0c32a37c69d54d4cceb728faad4bb9f5a4c","58300","No"
"0xa1606ba1699cbb813c8ea5038ea3d313df6f9785","56000","No"
"0xd07fb305af33491328505d8b35f4e7af738f0640","55400","No"
"0xdc0ba5a757c9b111b078a33e1eb875e97fbcb5b7","55000","No"
"0xa3af35d1cecd6c32c573a329e36da328b16b5d77","51000","No"
"0x64969307809b77e7eb00304f8b849c6f18f6f93b","50500","No"
"0x1724ca35c45565e22ad65763f08c2cace97e330b","50200","No"
"0x8c78a450981b267c12e6d872d95659cc29229deb","50000","No"
"0x9b393097444f136ab34079db148c1308f59a3f6e","50000","No"
"0xb504f6a0dd0166aeb13af332bfa27cfc7f44dc88","50000","No"
"0x90c0fcdc7e393f33977c8ef091c34bb74985ee6d","50000","No"
"0xe4b5b2667e049ac8c79ae6c5a7e3300815aa32be","50000","No"
"0xf6adc57e8d511dd9f711f1aab2766b2305003840","50000","No"
"0xbc8b07601212add631125d393d5e227bd947ddfd","50000","No"
"0x9e90cc8dfa1fc6fadae3bfa8aa13ae140d13f228","50000","No"
"0x6de0666638cf31c0f7d8db6ec892ca0b7d8dcf94","50000","No"
"0x1a718b59899933f813081712b95eadd6a97655a2","40000","No"
"0x3cd687d877f464a93797a908c2ae1dcbfacbcdcc","37500","No"
"0x16070e25bf083b2bc031a6bc7032285648fc1e54","32600","No"
"0x75f527144aecf26c39209a1dec9fad5319096500","25000","No"
"0xc10354284bfcc2fd44053d9ffa7906466a962ce7","25000","No"
"0x696fe200228c123553b90fd0f2dd005e29a816ce","15000","No"
"0xdb38f43daccaaaefe28249943bde3046999410d2","10000","No"
"0xb0c65e2541bcf0f3e577a78d0df8522a38494ff4","200","No"
"0xdaae07803e1f835b203369f733478936043d10ee","5","No"
"0x6a321f5e1935e2ec451ad146a26ba81c20fc8ec7","5","No"
"0x7530c8039bcfac7b39fd785b009061443b5fd584","5","No"
